"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"83","Antarctica","Sub_Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"84","Antarctica","Sub_Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"85","Asia and the Pacific","Region","Non_Forest","2020_2030",22719451.9850387,23095283.2793074,0.00328677693493895
"86","Asia and the Pacific","Region","Non_Forest","2020_2050",22719451.9850387,22771909.0041911,0.000461354780206591
"87","Asia and the Pacific","Region","Non_Forest","2020_2070",22719451.9850387,22737133.362973,0.000155601255812376
"88","Caribbean","Sub_Region","Non_Forest","2020_2030",158218.610312314,156827.551577228,-0.00176461767271807
"89","Caribbean","Sub_Region","Non_Forest","2020_2050",158218.610312314,153950.459477857,-0.00545443571890947
"90","Caribbean","Sub_Region","Non_Forest","2020_2070",158218.610312314,154200.545776222,-0.00513152565909347
"91","Central Africa","Sub_Region","Non_Forest","2020_2030",3005449.39756114,3012388.63816918,0.000461351351374484
"92","Central Africa","Sub_Region","Non_Forest","2020_2050",3005449.39756114,2950350.59975008,-0.00369378036330581
"93","Central Africa","Sub_Region","Non_Forest","2020_2070",3005449.39756114,2955502.02611215,-0.00334610525450318
"94","Central Asia","Sub_Region","Non_Forest","2020_2030",3284961.67959326,3255350.78171207,-0.00180935108858082
"95","Central Asia","Sub_Region","Non_Forest","2020_2050",3284961.67959326,3203630.01868127,-0.00500153822156779
"96","Central Asia","Sub_Region","Non_Forest","2020_2070",3284961.67959326,3287710.5140272,0.000167302701277849
"97","Central and Western Europe","Sub_Region","Non_Forest","2020_2030",3620827.90999955,3620301.01405068,-2.9105311481481e-05
"98","Central and Western Europe","Sub_Region","Non_Forest","2020_2050",3620827.90999955,3577050.16986417,-0.0024298866839495
"99","Central and Western Europe","Sub_Region","Non_Forest","2020_2070",3620827.90999955,3589537.96679091,-0.00173433628747821
"100","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2030",3300424.98686519,3259100.11043292,-0.00251685271196955
"101","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2050",3300424.98686519,3122024.34013553,-0.0110523936348231
"102","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2070",3300424.98686519,3161362.89605175,-0.00857264615596565
"103","Eastern Europe","Sub_Region","Non_Forest","2020_2030",8626154.17561503,8679140.07081833,0.00122548672693346
"104","Eastern Europe","Sub_Region","Non_Forest","2020_2050",8626154.17561503,8676831.4215433,0.00117221590849836
"105","Eastern Europe","Sub_Region","Non_Forest","2020_2070",8626154.17561503,8732419.03104597,0.00245173140793398
"106","Europe and Central Asia","Region","Non_Forest","2020_2030",15531943.7652078,15554791.8665811,0.000294034917835972
"107","Europe and Central Asia","Region","Non_Forest","2020_2050",15531943.7652078,15457511.6100887,-0.00096028218143096
"108","Europe and Central Asia","Region","Non_Forest","2020_2070",15531943.7652078,15609667.5118641,0.000998827161055926
"109","Global","Global","Non_Forest","2020_2030",88606372.7424326,88638471.6243141,7.24422648024081e-05
"110","Global","Global","Non_Forest","2020_2050",88606372.7424326,86991669.7660598,-0.00367152697873518
"111","Global","Global","Non_Forest","2020_2070",88606372.7424326,87359957.3463081,-0.00282934152649394
"112","Mesoamerica","Sub_Region","Non_Forest","2020_2030",1643819.32110984,1602770.8943214,-0.0050449210729604
"113","Mesoamerica","Sub_Region","Non_Forest","2020_2050",1643819.32110984,1532041.11016395,-0.0139855769678109
"114","Mesoamerica","Sub_Region","Non_Forest","2020_2070",1643819.32110984,1532660.05707844,-0.0139059195772472
"115","North Africa","Sub_Region","Non_Forest","2020_2030",4455979.12581349,4517011.8910949,0.00272447888279803
"116","North Africa","Sub_Region","Non_Forest","2020_2050",4455979.12581349,4441352.49662953,-0.000657358182534651
"117","North Africa","Sub_Region","Non_Forest","2020_2070",4455979.12581349,4466495.87510588,0.000471583668498976
"118","North America","Sub_Region","Non_Forest","2020_2030",10513514.3245931,10545393.6052918,0.00060570964047213
"119","North America","Sub_Region","Non_Forest","2020_2050",10513514.3245931,10402118.2203248,-0.00212814182447285
"120","North America","Sub_Region","Non_Forest","2020_2070",10513514.3245931,10496848.6945591,-0.000317233736964018
"121","North-East Asia","Sub_Region","Non_Forest","2020_2030",8304844.64266496,8397737.21845333,0.00222712725111962
"122","North-East Asia","Sub_Region","Non_Forest","2020_2050",8304844.64266496,8255736.17698937,-0.00118545349139787
"123","North-East Asia","Sub_Region","Non_Forest","2020_2070",8304844.64266496,8151354.38075034,-0.00372403676626831
"124","Oceania","Sub_Region","Non_Forest","2020_2030",5795027.2296604,5858415.04709194,0.00217815306144109
"125","Oceania","Sub_Region","Non_Forest","2020_2050",5795027.2296604,5673255.20708441,-0.00423841485939214
"126","Oceania","Sub_Region","Non_Forest","2020_2070",5795027.2296604,5713438.40936553,-0.0028318148061619
"127","South America","Sub_Region","Non_Forest","2020_2030",10717185.0303424,10541522.3234859,-0.00329985647736175
"128","South America","Sub_Region","Non_Forest","2020_2050",10717185.0303424,10253925.1016172,-0.00879865560371951
"129","South America","Sub_Region","Non_Forest","2020_2070",10717185.0303424,10401381.3124285,-0.0059641265384468
"130","South Asia","Sub_Region","Non_Forest","2020_2030",4366617.57997439,4267545.900861,-0.00457943600174437
"131","South Asia","Sub_Region","Non_Forest","2020_2050",4366617.57997439,4265582.21422571,-0.00467106027383313
"132","South Asia","Sub_Region","Non_Forest","2020_2070",4366617.57997439,4267259.1219624,-0.00459281480507701
"133","South-East Asia","Sub_Region","Non_Forest","2020_2030",2277585.34175769,2304238.14466569,0.00232956478119717
"134","South-East Asia","Sub_Region","Non_Forest","2020_2050",2277585.34175769,2323376.49937214,0.00398907409129534
"135","South-East Asia","Sub_Region","Non_Forest","2020_2070",2277585.34175769,2349559.43589818,0.006241802438405
"136","Southern Africa","Sub_Region","Non_Forest","2020_2030",4263967.69428579,4169190.0475075,-0.00448557496610447
"137","Southern Africa","Sub_Region","Non_Forest","2020_2050",4263967.69428579,3919534.49204794,-0.0167043520261185
"138","Southern Africa","Sub_Region","Non_Forest","2020_2070",4263967.69428579,3821474.80282449,-0.0216743976919684
"139","West Africa","Sub_Region","Non_Forest","2020_2030",3198023.52039289,3131157.45895171,-0.00421713037042559
"140","West Africa","Sub_Region","Non_Forest","2020_2050",3198023.52039289,3007480.25095039,-0.0122109077175288
"141","West Africa","Sub_Region","Non_Forest","2020_2070",3198023.52039289,2981194.89244975,-0.0139436300378739
"142","Western Asia","Sub_Region","Non_Forest","2020_2030",1975377.19098128,2267346.96823553,0.0279537849282367
"143","Western Asia","Sub_Region","Non_Forest","2020_2050",1975377.19098128,2253958.90651945,0.0267369504862147
"144","Western Asia","Sub_Region","Non_Forest","2020_2070",1975377.19098128,2255522.01499662,0.0268793183186948
