"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"97","Central and Western Europe","Sub_Region","Non_Forest","2020_2030",3620827.90999955,3743707.60332554,0.00669707660551921
"98","Central and Western Europe","Sub_Region","Non_Forest","2020_2050",3620827.90999955,3735463.43500729,0.00625330795378298
"99","Central and Western Europe","Sub_Region","Non_Forest","2020_2070",3620827.90999955,3734578.04200969,0.00620560227395339
"100","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2030",3300424.98686519,3137314.03356744,-0.0100856380832537
"101","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2050",3300424.98686519,2975388.44215585,-0.0205218302307911
"102","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2070",3300424.98686519,2983735.83292763,-0.0199728647783048
"103","Eastern Europe","Sub_Region","Non_Forest","2020_2030",8626154.17561503,8818643.55906909,0.00442361447872641
"104","Eastern Europe","Sub_Region","Non_Forest","2020_2050",8626154.17561503,8851821.01858822,0.0051782472654065
"105","Eastern Europe","Sub_Region","Non_Forest","2020_2070",8626154.17561503,8894878.33359692,0.00615423426624062
"106","Europe and Central Asia","Region","Non_Forest","2020_2030",15531943.7652078,15894023.7656105,0.00461951390520787
"107","Europe and Central Asia","Region","Non_Forest","2020_2050",15531943.7652078,15935278.890645,0.00514049889872892
"108","Europe and Central Asia","Region","Non_Forest","2020_2070",15531943.7652078,15972036.1031517,0.00560377439497151
"109","Global","Global","Non_Forest","2020_2030",88606372.7424326,88764177.5571084,0.000355939447370224
"110","Global","Global","Non_Forest","2020_2050",88606372.7424326,87904989.9453529,-0.00158817963103763
"111","Global","Global","Non_Forest","2020_2070",88606372.7424326,87842992.7820673,-0.00172905029223602
"112","Mesoamerica","Sub_Region","Non_Forest","2020_2030",1643819.32110984,1602593.5864191,-0.00506693559860849
"113","Mesoamerica","Sub_Region","Non_Forest","2020_2050",1643819.32110984,1554378.92578957,-0.0111268984758314
"114","Mesoamerica","Sub_Region","Non_Forest","2020_2070",1643819.32110984,1554510.23213353,-0.011110192005846
"115","North Africa","Sub_Region","Non_Forest","2020_2030",4455979.12581349,4428535.5102203,-0.00123481165196349
"116","North Africa","Sub_Region","Non_Forest","2020_2050",4455979.12581349,4367951.72008081,-0.00398257499243837
"117","North Africa","Sub_Region","Non_Forest","2020_2070",4455979.12581349,4369281.61612947,-0.00392193154060372
"118","North America","Sub_Region","Non_Forest","2020_2030",10513514.3245931,10890582.9843838,0.00707228356960954
"119","North America","Sub_Region","Non_Forest","2020_2050",10513514.3245931,10993648.8972683,0.0089712475624204
"120","North America","Sub_Region","Non_Forest","2020_2070",10513514.3245931,11135372.0309609,0.0115593393357019
"121","North-East Asia","Sub_Region","Non_Forest","2020_2030",8304844.64266496,8470690.29195201,0.00396242320143347
"122","North-East Asia","Sub_Region","Non_Forest","2020_2050",8304844.64266496,8459577.8589027,0.003698871501012
"123","North-East Asia","Sub_Region","Non_Forest","2020_2070",8304844.64266496,8474055.1594157,0.00404217263686912
"124","Oceania","Sub_Region","Non_Forest","2020_2030",5795027.2296604,5838052.38450306,0.00148050883536444
"125","Oceania","Sub_Region","Non_Forest","2020_2050",5795027.2296604,5783419.81489568,-0.000400920490531531
"126","Oceania","Sub_Region","Non_Forest","2020_2070",5795027.2296604,5788259.88969488,-0.000233665970163277
"127","South America","Sub_Region","Non_Forest","2020_2030",10717185.0303424,10578907.2980866,-0.00259390790481051
"128","South America","Sub_Region","Non_Forest","2020_2050",10717185.0303424,10415761.942039,-0.00568941374052101
"129","South America","Sub_Region","Non_Forest","2020_2070",10717185.0303424,10516274.1249789,-0.00377775760324162
"130","South Asia","Sub_Region","Non_Forest","2020_2030",4366617.57997439,4233106.35266592,-0.00619127743885128
"131","South Asia","Sub_Region","Non_Forest","2020_2050",4366617.57997439,4196983.83961827,-0.00789319709407632
"132","South Asia","Sub_Region","Non_Forest","2020_2070",4366617.57997439,3981754.4173119,-0.0182840154950332
"133","South-East Asia","Sub_Region","Non_Forest","2020_2030",2277585.34175769,2107145.4571183,-0.0154359559953982
"134","South-East Asia","Sub_Region","Non_Forest","2020_2050",2277585.34175769,2115576.68257059,-0.0146493157271422
"135","South-East Asia","Sub_Region","Non_Forest","2020_2070",2277585.34175769,2071386.99454063,-0.0188005022908815
"136","Southern Africa","Sub_Region","Non_Forest","2020_2030",4263967.69428579,4148144.81243112,-0.00549264183891174
"137","Southern Africa","Sub_Region","Non_Forest","2020_2050",4263967.69428579,3903079.27338655,-0.0175313678507181
"138","Southern Africa","Sub_Region","Non_Forest","2020_2070",4263967.69428579,3880497.46733818,-0.0186708496484685
"139","West Africa","Sub_Region","Non_Forest","2020_2030",3198023.52039289,2831100.88431344,-0.0240788313011138
"140","West Africa","Sub_Region","Non_Forest","2020_2050",3198023.52039289,2726721.81523353,-0.0313835601345277
"141","West Africa","Sub_Region","Non_Forest","2020_2070",3198023.52039289,2698039.33980194,-0.0334299704127182
"142","Western Asia","Sub_Region","Non_Forest","2020_2030",1975377.19098128,2151720.72880084,0.017248770882879
"143","Western Asia","Sub_Region","Non_Forest","2020_2050",1975377.19098128,2153268.60400116,0.0173950836679175
"144","Western Asia","Sub_Region","Non_Forest","2020_2070",1975377.19098128,2172717.95083755,0.0192263983654872
