"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"133","South-East Asia","Sub_Region","Non_Forest","2020_2030",2202426.05919515,2205849.99054424,0.000310730447131702
"134","South-East Asia","Sub_Region","Non_Forest","2020_2050",2202426.05919515,2251301.80335087,0.004399473635748
"135","South-East Asia","Sub_Region","Non_Forest","2020_2070",2202426.05919515,2264448.59679249,0.00556980947445318
"136","Southern Africa","Sub_Region","Non_Forest","2020_2030",4166261.40707334,4190813.11746761,0.00117582833416674
"137","Southern Africa","Sub_Region","Non_Forest","2020_2050",4166261.40707334,4208847.93039687,0.00203604410874791
"138","Southern Africa","Sub_Region","Non_Forest","2020_2070",4166261.40707334,4219895.20241326,0.00256151620718104
"139","West Africa","Sub_Region","Non_Forest","2020_2030",3173675.17314923,3204927.28744288,0.00196174689766071
"140","West Africa","Sub_Region","Non_Forest","2020_2050",3173675.17314923,3188240.237451,0.000916187026287485
"141","West Africa","Sub_Region","Non_Forest","2020_2070",3173675.17314923,3172761.98686999,-5.75541825075243e-05
"142","Western Asia","Sub_Region","Non_Forest","2020_2030",1953224.35652246,1969753.83956535,0.00168683254789803
"143","Western Asia","Sub_Region","Non_Forest","2020_2050",1953224.35652246,1969900.73138589,0.00170177199978183
"144","Western Asia","Sub_Region","Non_Forest","2020_2070",1953224.35652246,1972120.05867618,0.00192737757312145
